College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Saddleback College,UCSB,Comp1,A,1,CMPSC 16,CS 1A; CS 1B,,,
Saddleback College,UCSB,Comp2,A,1,CMPSC 24,CS 1D,,,
Saddleback College,UCSB,Comp3,A,1,CMPSC 40,CS 30A,CS 30B,MATH 30A,MATH 30B
Saddleback College,UCLA,Intro,A,1,COM SCI 31,CS 1B,CS 1C,,
Saddleback College,UCR,Intro1,A,1,CS 10A,CS 1B,,,
Irvine Valley College,UCR,Intro2,A,1,CS 10B,CS 38,CS 41,,
Saddleback College,UCM,DataStructures,A,1,CSE 030,CS 1D,,,
Irvine Valley College,UCSD,Intro,B,1,CSE 11,CS 38,,,
Irvine Valley College,UCSC,DataStructures,A,1,CSE 12,CS 40A; CS 40B,,,
Irvine Valley College,UCSC,DiscreteMath,A,1,CSE 16,CS 6A; CS 6B,MATH 6A; MATH 6B,,
Saddleback College,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,,
Irvine Valley College,UCSC,Python,A,1,CSE 30,CS 41,,,
Irvine Valley College,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
Irvine Valley College,UCD,DiscreteMath,A,1,ECS 020,CS 6A,MATH 6A,,
Saddleback College,UCD,ProblemSolving,A,1,ECS 036A,CS 1A,CS 1B,CS 4A,CS 4B
Irvine Valley College,UCD,ObjectOriented,A,1,ECS 036B,CS 37,,,
Saddleback College,UCD,Algorithms,A,1,ECS 036C,CS 1D,,,
Saddleback College,UCD,Organization,A,1,ECS 050,CS 3B,,,
Irvine Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 37; CS 41; CS 10,,,
Irvine Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
Saddleback College,UCD,Calc1,A,1,MAT 021A,MATH 3A,MATH 3AH,,
Irvine Valley College,UCD,Calc2,A,1,MAT 021B,MATH 3B,MATH 3BH,,
Irvine Valley College,UCD,Calc3,A,1,MAT 021C,MATH 4A,,,
Saddleback College,UCM,Calc1,A,1,MATH 021,MATH 3A,MATH 3AH,,
Saddleback College,UCM,Calc2,A,1,MATH 022,MATH 3B,,,
Irvine Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 4A,,,
Irvine Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 24; MATH 26,MATH 24H; MATH 26,,
Saddleback College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 26,,,
Saddleback College,UCSC,Calc1,A,1,MATH 19A,MATH 3A,MATH 3AH,,
Saddleback College,UCSC,Calc2,A,1,MATH 19B,MATH 3B,,,
Irvine Valley College,UCB,Calc1,A,1,MATH 1A,MATH 3A,MATH 3AH,,
Saddleback College,UCB,Calc2,A,1,MATH 1B,MATH 3B,,,
Saddleback College,UCSD,Cal1,A,1,MATH 20A,MATH 3A,MATH 3AH,,
Saddleback College,UCSD,Cal2,A,1,MATH 20B,MATH 3B,,,
Saddleback College,UCSD,Calc3,A,1,MATH 20C,MATH 3C,,,
Saddleback College,UCI,Calc1,A,1,MATH 2A,MATH 3A,MATH 3AH,,
Irvine Valley College,UCI,Calc2,A,1,MATH 2B,MATH 3B,MATH 3BH,,
Irvine Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 3A,MATH 3AH,,
Irvine Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 3B,MATH 3BH,,
Saddleback College,UCLA,Calc3,A,1,MATH 32A,MATH 3C,,,
Irvine Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 4A,,,
Irvine Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26,,,
Saddleback College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 24,,,
Saddleback College,UCSB,Calc1,A,1,MATH 3A,MATH 3A,MATH 3AH,,
Saddleback College,UCSB,Calc2,A,1,MATH 3B,MATH 3B,,,
Irvine Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26,,,
Saddleback College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 24,,,
Irvine Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 4A,,,
Saddleback College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 24; MATH 26,,,
Saddleback College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,,
