College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Sacramento City College,UCB,Calc1,A,1,MATH 1A,MATH 400,,
Sacramento City College,UCB,Calc2,A,1,MATH 1B,MATH 401,,
Sacramento City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 420; MATH 410,,
Sacramento City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 402,,
Sacramento City College,UCD,Calc1,A,1,MAT 021A,MATH 400,,
Sacramento City College,UCD,Calc2,A,1,MAT 021B,MATH 401,,
American River College,UCD,Calc3,A,1,MAT 021C,MATH 401; MATH 402,,
Sacramento City College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 402,,
Folsom Lake College,UCD,DataStructures,A,1,ECS 036C,CISP 430,,
Sacramento City College,UCD,DiscreteMath,A,1,ECS 020,CISP 440,,
Sacramento City College,UCD,Intro1,A,1,ECS 036A,CISP 360,,
Sacramento City College,UCD,Intro2,A,1,ECS 036B,CISP 400,CISP 401,
Folsom Lake College,UCD,Organization,A,1,ECS 050,CISP 310,,
Sacramento City College,UCI,Calc1,A,1,MATH 2A,MATH 400,MATH 355,
Sacramento City College,UCI,Calc2,A,1,MATH 2B,MATH 401,MATH 356,
Cosumnes River College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISP 360; CISP 400,,
Sacramento City College,UCLA,Calc1,A,1,MATH 31A,MATH 400,,
Sacramento City College,UCLA,Calc2,A,1,MATH 31B,MATH 401,,
Sacramento City College,UCLA,Calc3,A,1,MATH 32A,MATH 402,,
Sacramento City College,UCLA,Calc4,A,1,MATH 32B,MATH 402,,
Sacramento City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 420,,
Sacramento City College,UCLA,Intro,A,1,COM SCI 31,CISP 400,,
Sacramento City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 410,,
Sacramento City College,UCM,Calc1,A,1,MATH 021,MATH 400,,
Sacramento City College,UCM,Calc2,A,1,MATH 022,MATH 401,,
Sacramento City College,UCM,DataStructures,A,1,CSE 030,CISP 430,,
Sacramento City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 410; MATH 420,,
Sacramento City College,UCM,VectorCalc,A,1,MATH 023,MATH 402,,
Sacramento City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 400; MATH 401,,
Sacramento City College,UCR,Intro1,A,1,CS 10A,CISP 360,,
Sacramento City College,UCR,Intro2,A,1,CS 10B,CISP 400,CISP 401,
Sacramento City College,UCSB,Calc1,A,1,MATH 3A,MATH 400,,
Sacramento City College,UCSB,Calc2,A,1,MATH 3B,MATH 401,,
Sacramento City College,UCSB,DataStructures,A,1,CMPSC 24,CISP 430,,
Sacramento City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 420,,
Sacramento City College,UCSB,DiscreteMath,A,1,CMPSC 40,CISP 440,,
Sacramento City College,UCSB,Intro,A,1,CMPSC 16,CISP 360,,
Sacramento City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 410,,
Sacramento City College,UCSC,Calc1,A,1,MATH 19A,MATH 400,,
Sacramento City College,UCSC,Calc2,A,1,MATH 19B,MATH 401,,
Sacramento City College,UCSC,DataStructures,A,1,CSE 12,CISP 310,,
Sacramento City College,UCSC,DiscreteMath,A,1,CSE 16,CISP 440,,
Sacramento City College,UCSC,Intro,A,1,CSE 30,CISP 430,,
Sacramento City College,UCSD,Calc1,A,1,MATH 20A,MATH 400,,
Sacramento City College,UCSD,Calc2,A,1,MATH 20B,MATH 401,,
Sacramento City College,UCSD,Calc3,A,1,MATH 20C,MATH 402,,
Sacramento City College,UCSD,DataStructures,A,1,CSE 12,CISP 430,,
Sacramento City College,UCSD,DiscreteMath,A,1,CSE 20,CISP 440,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Folsom Lake College,UCSD,Intro,B,1,CSE 11,CISP 401,,
Sacramento City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 410,,
