College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
Moreno Valley College,UCB,Calc1,A,1,MATH 1A,MAT 1A,,,,,,,
Moreno Valley College,UCB,Calc2,A,1,MATH 1B,MAT 1B,,,,,,,
Moreno Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 2; MAT 3,,,,,,,
Moreno Valley College,UCB,MultivariableCalc,A,1,MATH 53,MAT 1C,,,,,,,
Moreno Valley College,UCD,Calc1,A,1,MAT 021A,MAT 1A,,,,,,,
Moreno Valley College,UCD,Calc2,A,1,MAT 021B,MAT 1B,,,,,,,
Moreno Valley College,UCD,Calc3,A,1,MAT 021C,MAT 1C,,,,,,,
Riverside City College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MAT 1C,,,,,,,
Norco College,UCD,DataStructures,A,1,ECS 036C,CIS 17C,,,,,,,
Moreno Valley College,UCD,DiscreteMath,A,1,ECS 020,CIS 7,,,,,,,
Norco College,UCD,Intro1,A,1,ECS 036A,CIS 5,CIS 17A,CIS 18A,CIS 18C,CIS 18B,CSC 5,CSC 17A,CSC 18A
Moreno Valley College,UCD,Intro2,A,1,ECS 036B,CIS 17A,,,,,,,
Norco College,UCD,Organization,A,1,ECS 050,CIS 11,CSC 11,,,,,,
Moreno Valley College,UCI,Calc1,A,1,MATH 2A,MAT 1A,MAT 1AH,,,,,,
Moreno Valley College,UCI,Calc2,A,1,MATH 2B,MAT 1B,,,,,,,
Norco College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CIS 30A; CIS 30E,,,,,,,
Norco College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 17A; CIS 17B,CIS 18A; CIS 18B,,,,,,
Moreno Valley College,UCLA,Calc1,A,1,MATH 31A,MAT 1A,,,,,,,
Moreno Valley College,UCLA,Calc2,A,1,MATH 31B,MAT 1B,,,,,,,
Moreno Valley College,UCLA,Calc3,A,1,MATH 32A,MAT 1C,,,,,,,
Moreno Valley College,UCLA,Calc4,A,1,MATH 32B,MAT 1C,,,,,,,
Moreno Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MAT 2,,,,,,,
Moreno Valley College,UCLA,Intro,A,1,COM SCI 31,CIS 5,,,,,,,
Moreno Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MAT 3,,,,,,,
Moreno Valley College,UCM,Calc1,A,1,MATH 021,MAT 1A,MAT 1AH,,,,,,
Moreno Valley College,UCM,Calc2,A,1,MATH 022,MAT 1B,,,,,,,
Moreno Valley College,UCM,DataStructures,A,1,CSE 030,CIS 17C,CIS 18C,,,,,,
Moreno Valley College,UCM,LinearAlgebra,A,1,MATH 024,MAT 2; MAT 3,,,,,,,
Moreno Valley College,UCM,VectorCalc,A,1,MATH 023,MAT 1C,,,,,,,
Moreno Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 1A; MAT 1B,,,,,,,
Moreno Valley College,UCR,Intro1,A,1,CS 10A,CIS 5,CIS 17A,CIS 17B,,,,,
Moreno Valley College,UCR,Intro2,A,1,CS 10B,CIS 17C,CIS 18A,CIS 18B,,,,,
Moreno Valley College,UCSB,Calc1,A,1,MATH 3A,MAT 1A,MAT 1AH,,,,,,
Moreno Valley College,UCSB,Calc2,A,1,MATH 3B,MAT 1B,,,,,,,
Moreno Valley College,UCSB,DataStructures,A,1,CMPSC 24,CIS 17C,,,,,,,
Moreno Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MAT 2,,,,,,,
Moreno Valley College,UCSB,DiscreteMath,A,1,CMPSC 40,CIS 7,,,,,,,
Moreno Valley College,UCSB,Intro,A,1,CMPSC 16,CIS 5,,,,,,,
Moreno Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MAT 3,,,,,,,
Moreno Valley College,UCSC,Calc1,A,1,MATH 19A,MAT 1A,,,,,,,
Moreno Valley College,UCSC,Calc2,A,1,MATH 19B,MAT 1B,,,,,,,
Norco College,UCSC,DataStructures,A,1,CSE 12,CIS 11,CSC 11,,,,,,
Moreno Valley College,UCSC,DiscreteMath,A,1,CSE 16,CIS 7,,,,,,,
Moreno Valley College,UCSC,Intro,A,1,CSE 30,CIS 17A,CIS 17C,CIS 18C,,,,,
Moreno Valley College,UCSD,Calc1,A,1,MATH 20A,MAT 1A,,,,,,,
Moreno Valley College,UCSD,Calc2,A,1,MATH 20B,MAT 1B,,,,,,,
Moreno Valley College,UCSD,Calc3,A,1,MATH 20C,MAT 1C,,,,,,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,,,,,
Moreno Valley College,UCSD,DiscreteMath,A,1,CSE 20,CIS 7,,,,,,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,,,,,
Moreno Valley College,UCSD,Intro,B,1,CSE 11,CIS 18B,,,,,,,
Moreno Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MAT 3,,,,,,,
